"method_id","method_header","method_qualified_name","method_start_line","method_end_line"
"CL-000000","void testLang381()","org.apache.commons.lang3.math.IEEE754rUtilsTest.testLang381()V","30","54"
"CL-000001","double min(double[] array)","org.apache.commons.lang3.math.IEEE754rUtils.min([D)D","39","54"
"CL-000002","float min(float[] array)","org.apache.commons.lang3.math.IEEE754rUtils.min([F)F","65","79"
"CL-000003","double min(double a, double b, double c)","org.apache.commons.lang3.math.IEEE754rUtils.min(DDD)D","91","93"
"CL-000004","float min(float a, float b, float c)","org.apache.commons.lang3.math.IEEE754rUtils.min(FFF)F","125","127"
"CL-000005","double max(double[] array)","org.apache.commons.lang3.math.IEEE754rUtils.max([D)D","158","172"
"CL-000006","float max(float[] array)","org.apache.commons.lang3.math.IEEE754rUtils.max([F)F","183","197"
"CL-000007","double max(double a, double b, double c)","org.apache.commons.lang3.math.IEEE754rUtils.max(DDD)D","209","211"
"CL-000008","float max(float a, float b, float c)","org.apache.commons.lang3.math.IEEE754rUtils.max(FFF)F","243","245"
"CL-000009","void isTrue(boolean expression, String message, Object[] values)","org.apache.commons.lang3.Validate.isTrue(ZLjava/lang/String;[Ljava/lang/Object;)V","156","160"
"CL-000010","float max(float a, float b)","org.apache.commons.lang3.math.IEEE754rUtils.max(FF)F","256","265"
"CL-000011","double max(double a, double b)","org.apache.commons.lang3.math.IEEE754rUtils.max(DD)D","222","231"
"CL-000012","float min(float a, float b)","org.apache.commons.lang3.math.IEEE754rUtils.min(FF)F","138","147"
"CL-000013","double min(double a, double b)","org.apache.commons.lang3.math.IEEE754rUtils.min(DD)D","104","113"
"CL-000014","void testConstructor()","org.apache.commons.lang3.time.DurationFormatUtilsTest.testConstructor()V","39","47"
"CL-000015","DurationFormatUtils()","org.apache.commons.lang3.time.DurationFormatUtils.<init>()V","58","60"
"CL-000016","void testNextFloatMinimalRange()","org.apache.commons.lang3.RandomUtilsTest.testNextFloatMinimalRange()V","136","139"
"CL-000017","float nextFloat(float startInclusive, float endInclusive)","org.apache.commons.lang3.RandomUtils.nextFloat(FF)F","205","215"
"CL-000018","void testComparable1()","org.apache.commons.lang3.tuple.PairTest.testComparable1()V","73","81"
"CL-000019","int compareTo(Pair<L, R> other)","org.apache.commons.lang3.tuple.Pair.compareTo(Lorg/apache/commons/lang3/tuple/Pair;)I","115","119"
"CL-000020","int toComparison()","org.apache.commons.lang3.builder.CompareToBuilder.toComparison()I","1014","1016"
"CL-000021","CompareToBuilder append(Object lhs, Object rhs)","org.apache.commons.lang3.builder.CompareToBuilder.append(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/CompareToBuilder;","376","378"
"CL-000022","<L extends Object, R extends Object> Pair<L, R> of(L left, R right)","org.apache.commons.lang3.tuple.Pair.of(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/tuple/Pair;","58","60"
"CL-000023","L getLeft()","org.apache.commons.lang3.tuple.Pair.getLeft()Ljava/lang/Object;","70","70"
"CL-000024","R getRight()","org.apache.commons.lang3.tuple.Pair.getRight()Ljava/lang/Object;","79","79"
"CL-000025","void testBetween()","org.apache.commons.lang3.text.translate.OctalUnescaperTest.testBetween()V","28","79"
"CL-000026","int translate(CharSequence input, int index, Writer out)","org.apache.commons.lang3.text.translate.OctalUnescaper.translate(Ljava/lang/CharSequence;ILjava/io/Writer;)I","37","60"
"CL-000027","boolean isOctalDigit(char ch)","org.apache.commons.lang3.text.translate.OctalUnescaper.isOctalDigit(C)Z","67","69"
"CL-000028","boolean isZeroToThree(char ch)","org.apache.commons.lang3.text.translate.OctalUnescaper.isZeroToThree(C)Z","76","78"
"CL-000029","void testIncrementAndGet()","org.apache.commons.lang3.mutable.MutableFloatTest.testIncrementAndGet()V","157","165"
"CL-000030","float incrementAndGet()","org.apache.commons.lang3.mutable.MutableFloat.incrementAndGet()F","159","162"
"CL-000031","int intValue()","org.apache.commons.lang3.mutable.MutableFloat.intValue()I","304","307"
"CL-000032","long longValue()","org.apache.commons.lang3.mutable.MutableFloat.longValue()J","314","317"
"CL-000033","void testGetSet()","org.apache.commons.lang3.mutable.MutableIntTest.testGetSet()V","48","65"
"CL-000034","Integer getValue()","org.apache.commons.lang3.mutable.MutableInt.getValue()Ljava/lang/Integer;","87","90"
"CL-000035","void setValue(int value)","org.apache.commons.lang3.mutable.MutableInt.setValue(I)V","97","99"
"CL-000036","void setValue(Number value)","org.apache.commons.lang3.mutable.MutableInt.setValue(Ljava/lang/Number;)V","107","110"
"CL-000037","int intValue()","org.apache.commons.lang3.mutable.MutableInt.intValue()I","287","290"
"CL-000038","void testToIntStringI()","org.apache.commons.lang3.math.NumberUtilsTest.testToIntStringI()V","65","69"
"CL-000039","int toInt(String str, int defaultValue)","org.apache.commons.lang3.math.NumberUtils.toInt(Ljava/lang/String;I)I","121","130"
"CL-000040","void testNullThreadName()","org.apache.commons.lang3.ThreadUtilsTest.testNullThreadName()V","42","45"
"CL-000041","Collection<Thread> findThreadsByName(String threadName)","org.apache.commons.lang3.ThreadUtils.findThreadsByName(Ljava/lang/String;)Ljava/util/Collection;","213","215"
"CL-000042","Collection<Thread> findThreads(ThreadPredicate predicate)","org.apache.commons.lang3.ThreadUtils.findThreads(Lorg/apache/commons/lang3/ThreadUtils$ThreadPredicate;)Ljava/util/Collection;","370","372"
"CL-000043","void testConstructor()","org.apache.commons.lang3.reflect.FieldUtilsTest.testConstructor()V","59","67"
"CL-000044","FieldUtils()","org.apache.commons.lang3.reflect.FieldUtils.<init>()V","46","48"
"CL-000045","void testInitDefaultService()","org.apache.commons.lang3.concurrent.TimedSemaphoreTest.testInitDefaultService()V","82","93"
"CL-000046","ScheduledExecutorService getExecutorService()","org.apache.commons.lang3.concurrent.TimedSemaphore.getExecutorService()Ljava/util/concurrent/ScheduledExecutorService;","408","410"
"CL-000047","void shutdown()","org.apache.commons.lang3.concurrent.TimedSemaphore.shutdown()V","264","278"
"CL-000048","void testStartTimer()","org.apache.commons.lang3.concurrent.TimedSemaphoreTest.testStartTimer()V","100","116"
"CL-000049","ScheduledFuture<?> startTimer()","org.apache.commons.lang3.concurrent.TimedSemaphore.startTimer()Ljava/util/concurrent/ScheduledFuture;","419","426"
"CL-000050","void endOfPeriod()","org.apache.commons.lang3.concurrent.TimedSemaphore.endOfPeriod()V","433","439"
"CL-000051","long getPeriod()","org.apache.commons.lang3.concurrent.TimedSemaphore.getPeriod()J","390","392"
"CL-000052","TimeUnit getUnit()","org.apache.commons.lang3.concurrent.TimedSemaphore.getUnit()Ljava/util/concurrent/TimeUnit;","399","401"
"CL-000053","ScheduledFuture<?> startTimer()","org.apache.commons.lang3.concurrent.TimedSemaphoreTest$TimedSemaphoreTestImpl.startTimer()Ljava/util/concurrent/ScheduledFuture;","483","486"
"CL-000054","int getPeriodEnds()","org.apache.commons.lang3.concurrent.TimedSemaphoreTest$TimedSemaphoreTestImpl.getPeriodEnds()I","452","456"
"CL-000055","void testInputHasWhitespace()","org.apache.commons.lang3.time.FastDateParser_MoreOrLessTest.testInputHasWhitespace()V","43","56"
"CL-000056","Date parse(String source, ParsePosition pos)","org.apache.commons.lang3.time.FastDateParser.parse(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;","396","403"
"CL-000057","boolean parse(String source, ParsePosition pos, Calendar calendar)","org.apache.commons.lang3.time.FastDateParser.parse(Ljava/lang/String;Ljava/text/ParsePosition;Ljava/util/Calendar;)Z","418","429"
"CL-000058","void testFormattedExceptionMessageNull()","org.apache.commons.lang3.exception.DefaultExceptionContextTest.testFormattedExceptionMessageNull()V","34","38"
"CL-000059","String getFormattedExceptionMessage(String baseMessage)","org.apache.commons.lang3.exception.DefaultExceptionContext.getFormattedExceptionMessage(Ljava/lang/String;)Ljava/lang/String;","126","163"
"CL-000060","R getValue()","org.apache.commons.lang3.tuple.Pair.getValue()Ljava/lang/Object;","102","105"
"CL-000061","String getStackTrace(Throwable throwable)","org.apache.commons.lang3.exception.ExceptionUtils.getStackTrace(Ljava/lang/Throwable;)Ljava/lang/String;","587","592"
"CL-000062","void setUp()","org.apache.commons.lang3.exception.DefaultExceptionContextTest.setUp()V","27","32"
"CL-000063","void testBelow()","org.apache.commons.lang3.text.translate.UnicodeEscaperTest.testBelow()V","29","36"
"CL-000064","UnicodeEscaper below(int codepoint)","org.apache.commons.lang3.text.translate.UnicodeEscaper.below(I)Lorg/apache/commons/lang3/text/translate/UnicodeEscaper;","62","64"
"CL-000065","UnicodeEscaper outsideOf(int codepointLow, int codepointHigh)","org.apache.commons.lang3.text.translate.UnicodeEscaper.outsideOf(II)Lorg/apache/commons/lang3/text/translate/UnicodeEscaper;","83","85"
"CL-000066","String translate(CharSequence input)","org.apache.commons.lang3.text.translate.CharSequenceTranslator.translate(Ljava/lang/CharSequence;)Ljava/lang/String;","54","66"
"CL-000067","void testBetween()","org.apache.commons.lang3.text.translate.UnicodeEscaperTest.testBetween()V","38","45"
"CL-000068","UnicodeEscaper between(int codepointLow, int codepointHigh)","org.apache.commons.lang3.text.translate.UnicodeEscaper.between(II)Lorg/apache/commons/lang3/text/translate/UnicodeEscaper;","94","96"
"CL-000069","void testAbove()","org.apache.commons.lang3.text.translate.UnicodeEscaperTest.testAbove()V","47","54"
"CL-000070","UnicodeEscaper above(int codepoint)","org.apache.commons.lang3.text.translate.UnicodeEscaper.above(I)Lorg/apache/commons/lang3/text/translate/UnicodeEscaper;","72","74"
"CL-000071","void testAbove()","org.apache.commons.lang3.text.translate.NumericEntityEscaperTest.testAbove()V","47","54"
"CL-000072","NumericEntityEscaper above(int codepoint)","org.apache.commons.lang3.text.translate.NumericEntityEscaper.above(I)Lorg/apache/commons/lang3/text/translate/NumericEntityEscaper;","72","74"
"CL-000073","NumericEntityEscaper outsideOf(int codepointLow, int codepointHigh)","org.apache.commons.lang3.text.translate.NumericEntityEscaper.outsideOf(II)Lorg/apache/commons/lang3/text/translate/NumericEntityEscaper;","94","96"
"CL-000074","void testEquals()","org.apache.commons.lang3.reflect.TypeLiteralTest.testEquals()V","44","49"
"CL-000075","TypeLiteral()","org.apache.commons.lang3.reflect.TypeLiteral.<init>()V","89","95"
"CL-000076","<T extends Object> T notNull(T object, String message, Object[] values)","org.apache.commons.lang3.Validate.notNull(Ljava/lang/Object;Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/Object;","223","228"
"CL-000077","Map<TypeVariable<?>, Type> getTypeArguments(Type type, Class<?> toClass)","org.apache.commons.lang3.reflect.TypeUtils.getTypeArguments(Ljava/lang/reflect/Type;Ljava/lang/Class;)Ljava/util/Map;","786","788"
"CL-000078","String toLongString(TypeVariable<?> var)","org.apache.commons.lang3.reflect.TypeUtils.toLongString(Ljava/lang/reflect/TypeVariable;)Ljava/lang/String;","1688","1708"
"CL-000079","String toString(Type type)","org.apache.commons.lang3.reflect.TypeUtils.toString(Ljava/lang/reflect/Type;)Ljava/lang/String;","1661","1679"
"CL-000080","void testLang1219()","org.apache.commons.lang3.time.FastDateParser_TimeZoneStrategyTest.testLang1219()V","58","65"
"CL-000081","boolean equals(Object obj)","org.apache.commons.lang3.time.FastDateParser.equals(Ljava/lang/Object;)Z","301","310"
"CL-000082","FastDateParser(String pattern, TimeZone timeZone, Locale locale)","org.apache.commons.lang3.time.FastDateParser.<init>(Ljava/lang/String;Ljava/util/TimeZone;Ljava/util/Locale;)V","115","117"
"CL-000083","Date parse(String source)","org.apache.commons.lang3.time.FastDateParser.parse(Ljava/lang/String;)Ljava/util/Date;","360","374"
